origin,h,S,log_w
2015-09,9,0.00042401806929938043,-4557.260641147703
2015-09,10,0.0003781362859940369,-4627.588407145283
2015-09,11,0.0005815747847763139,-4691.052242393444
2015-09,12,0.0005249251846455548,-4747.984243439105
2015-10,1,0.0001277520405616201,-35.77160855233578
2015-10,2,0.000253745109118372,-82.26207787472364
2015-10,3,0.0005163110128941703,-88.21608461477585
2015-10,4,0.00030581114451691364,-1874.7085624714698
2015-10,5,5.455339919598241e-05,-3104.747928881243
2015-10,6,0.00016892977581354184,-3746.67116974863
2015-10,7,0.000343806166242128,-4208.488577558183
2015-10,8,0.00027054150023187677,-4438.546873428253
2015-10,9,0.0002031773958139629,-4587.413810365357
2015-10,10,0.0003808910379245233,-4665.099360611122
2015-10,11,0.00032612405631259923,-4722.031361656783
2015-10,12,0.00012953362812464456,-4772.676251002874
2015-11,1,0.0001286843505332244,-40.88154248916255
2015-11,2,0.00038493410397624425,-81.20483430667059
2015-11,3,0.00017871714260119572,-84.19025220712915
2015-11,4,0.0001524486600327458,-1835.3082675816627
2015-11,5,0.000245961806241919,-3036.0241355729204
2015-11,6,0.00039715443066130895,-3655.1691412048567
2015-11,7,0.00032779543538383627,-4174.551871379039
2015-11,8,0.00026298448625728787,-4391.911155541727
2015-11,9,0.0004170439597594791,-4551.340613202534
2015-11,10,0.0003491088819808086,-4621.782165584572
2015-11,11,0.00015574319614622845,-4672.427054930663
2015-11,12,6.689190693715593e-05,-4728.650613068551
2015-12,1,0.00025810124534854026,-35.070446814895796
2015-12,2,5.571664768055668e-05,-66.0156768417749
2015-12,3,0.00025983684056364847,-70.65914264383241
2015-12,4,0.000320436828479897,-1786.7563503100414
2015-12,5,0.00042239251359688177,-2956.8601827923603
2015-12,6,0.0003515056401244042,-3642.116474723639
2015-12,7,0.00028868426371151876,-4142.390720239404
2015-12,8,0.00043987289284687803,-4372.449016109474
2015-12,9,0.0003525882764416769,-4521.429739431035
2015-12,10,0.0001545031442785269,-4584.872016452277
2015-12,11,6.587478497790001e-05,-4641.095574590166
2015-12,12,4.126549815973348e-05,-4711.562405952576
2016-01,1,0.0001844111786043299,-26.404548685493
2016-01,2,0.0004916354428321093,-62.212563089488725
2016-01,3,0.000553254878439843,-68.86773156698092
2016-01,4,0.0006130918524895309,-1748.6555944344423
2016-01,5,0.00047431150463967276,-3008.372114036566
2016-01,6,0.00040469263881383246,-3671.671266664523
2016-01,7,0.0005508658070738272,-4191.053996838706
2016-01,8,0.00046301986023133176,-4408.527067385851
2016-01,9,0.00023810241993656254,-4547.3037788711
2016-01,10,9.951911598867803e-06,-4617.036888345366
2016-01,11,9.782416002983383e-05,-4687.503719707776
2016-01,12,7.770606788770531e-05,-4757.970551070187
2016-02,1,0.0002978330088605546,-30.91125123199654
2016-02,2,0.0003519150616666175,-71.93570478694457
2016-02,3,0.00040578253567602647,-79.31403884944908
2016-02,4,0.000240844249907151,-1865.8065167061432
2016-02,5,9.998777647851707e-05,-3095.732096731458
2016-02,6,0.00022706068234008142,-3780.9883886627367
2016-02,7,0.00014437990446226207,-4281.3764205629595
2016-02,8,7.403425043142012e-05,-4486.508988290114
2016-02,9,0.00032651952248164036,-4634.781268703903
2016-02,10,0.0002309505110192414,-4720.181978725144
2016-02,11,0.0002491703174461752,-4790.648810087555
2016-02,12,0.0002833013979315589,-4860.874639700487
2016-03,1,5.668789444177383e-05,-35.77160855233578
2016-03,2,0.00010001192858626832,-80.72396416781379
2016-03,3,6.182385624848609e-05,-83.70938206827235
2016-03,4,0.00022742420997283724,-1834.7136110583483
2016-03,5,0.00011971706687438806,-3094.430130660472
2016-03,6,0.00021709336736478856,-3757.8430696728865
2016-03,7,0.0004334443901451235,-4239.481125802083
2016-03,8,0.0006804350387414997,-4456.245753441456
2016-03,9,0.0005950047147934524,-4626.595107353256
2016-03,10,0.0006113557908649578,-4711.995817374497
2016-03,11,0.0006424556129821547,-4782.221646987429
2016-03,12,0.00044673563878205,-4859.079828543334
2016-04,1,4.6062007141247155e-05,-39.34342878225269
2016-04,2,0.00012001744822047553,-70.28865880913179
2016-04,3,0.0002883170586627862,-74.81833822673173
2016-04,4,0.0002450908611953068,-1861.3108160834258
2016-04,5,0.0003426810695615042,-3091.3501824931986
2016-04,6,0.0005482978092987562,-3733.1644910896825
2016-04,7,0.0007854923436484843,-4232.844080082134
2016-04,8,0.0007195444029353595,-4475.958763186874
2016-04,9,0.0007500266403444467,-4646.308117098674
2016-04,10,0.0007804096931575471,-4731.467825370437
2016-04,11,0.0005916330905634277,-4808.3260069263415
2016-04,12,0.0006889107026439708,-4901.563952690447
2016-05,1,0.00015864335674186693,-26.404548685493
2016-05,2,0.0003293205740305437,-62.09877670503114
2016-05,3,0.00030356833934624787,-65.0841946054897
2016-05,4,0.0004563895705128537,-1816.2022099800233
2016-05,5,0.0006806865888758212,-3016.8091457003775
2016-05,6,0.0009098462778846924,-3679.51364180502
2016-05,7,0.0008439369097186355,-4218.362232164909
2016-05,8,0.0008866147622866105,-4461.47691526965
2016-05,9,0.0009210185084029959,-4631.585267431971
2016-05,10,0.0007368492441230225,-4724.089491307932
2016-05,11,0.000830618714061029,-4817.327437072037
2016-05,12,0.0005779699902435801,-4910.565382836143
2016-06,1,0.0001641642581032103,-30.797464847538965
2016-06,2,0.00013537078637609976,-61.74269487441807
2016-06,3,0.00030855797303857343,-66.38616067647558
2016-06,4,0.0005849749752312441,-1782.3744360717815
2016-06,5,0.0008322761318036434,-3011.7053595737825
2016-06,6,0.0007681693958192445,-3719.2761663356723
2016-06,7,0.0008110593665637588,-4258.124756695562
2016-06,8,0.0008706619415107678,-4500.998438050824
