h,macro_residual,conditional_u_h12,ch_ar1_residual,ch_prediction_residual
1,0.0005566339918532,4.580469734876287,4.270744286771891e-07,2.7215790558987686e-07
2,-0.0994433660081468,4.769051572616354,0.0001279951851964,8.156634813406526e-05
3,0.9003583479451467,5.035815431538815,0.0013421926020826,0.0008553270880967128
4,10.402142922365508,5.215615767148519,0.0220350525489772,0.014042081072068701
5,-1.5772353287769807,3.708631381502782,0.02149106260175,0.01369541745852042
6,-2.1804079055242873,2.5153500719115094,0.0182904171032143,0.011655770696912121
7,-0.7847701985518398,1.7221086241006915,0.0174812120322367,0.011140095810939407
8,-1.786356486925493,1.0833674527396866,0.0136030310060401,0.008668682036864292
9,-0.5899256357662184,0.7597827922013121,0.0123916066962949,0.007896688490113863
10,-0.8911153520464588,0.5454522812769849,0.0101364930585204,0.006459592369831311
11,-0.1928999264668212,0.4884007231485388,0.0096695219056572,0.006162009835265184
12,0.0067035014397651,0.4701643296740947,0.009739044326778,0.006206313767444826
